JURISDICTION,,FIPS,POP010210,POP050210,POP010200,AGE115210,AGE275210,AGE765210,SEX205210,RHI105210,RHI205210,RHI305210,RHI405210,RHI505210,RHI605210,RHI705210,RHI805210,POP715209,POP645209,POP815209,EDU635209,EDU685209,VET605209,LFE305209,HSG030210,HSG445209,HSG096209,HSG495209,HSD410209,HSD310209,INC910209,IPE010209,IPE120209,BZA010209,BZA110209,BZA115209,NES010209,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030210,FED110209,LND110210,POP060210
UNITED STATES,,0,308745538,9.7,281421906,6.5,24,13,50.8,72.4,12.6,0.9,4.8,0.2,2.9,16.3,63.7,83.8,12.4,19.6,84.6,27.5,22894578,25.2,131704730,66.9,25.9,185400,112611029,2.6,27041,50221,14.3,7433465,114509626,0.4,21090761,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5338306501,4174286516,3917663456,12990,613795732,604610,3175336050,3531905.43,87.4
ALABAMA,,1000,4779736,7.5,4447100,6.4,23.7,13.8,51.5,68.5,26.2,0.6,1.1,0.1,1.5,3.9,67,83.9,2.9,4.4,80.8,21.5,403962,23.7,2171853,70.8,16,111900,1819441,2.48,22732,40547,17.5,100805,1612258,-2.5,305420,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,11261,56047825,50645.33,94.4
Autauga County,AL,1001,54571,25,43671,6.6,26.8,12,51.3,78.5,17.7,0.4,0.9,0.1,1.6,2.4,77.2,84.7,1.6,3.7,85,21.8,5387,24.9,22135,77.5,7.1,130700,18288,2.71,23774,53081,11.2,877,10628,16.6,2971,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,191,331142,594.44,91.8
Baldwin County,AL,1003,182265,29.8,140415,6.1,23,16.8,51.1,85.7,9.4,0.7,0.7,0,1.5,4.4,83.5,82.8,3,4.6,87.5,26.6,20648,25.1,104061,77.5,23.5,173100,68497,2.49,26197,48637,13.3,4812,52233,17.4,14175,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,696,1119082,1589.78,114.6
Barbour County,AL,1005,27457,-5.4,29038,6.2,21.9,14.2,46.9,48,46.9,0.4,0.4,0.1,0.9,5.1,46.8,82.9,2.6,4.2,70.3,12.4,2480,22.9,11829,66.5,12.3,83400,10645,2.52,15842,28802,32.8,522,7990,-27,1527,1667,0,0,0,0,0,27,0,0,188337,6334,0,10,240308,884.88,31
Bibb County,AL,1007,22915,10,20826,6,22.7,12.7,46.3,75.8,22,0.3,0.1,0.1,0.9,1.8,75,88.5,1,1.4,72.2,11.1,1787,30.3,8981,78.6,7.4,81300,7525,2.73,18953,38294,18.1,318,2927,-14,1192,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,8,163201,622.58,36.8
Blount County,AL,1009,57322,12.3,51024,6.3,24.6,14.7,50.5,92.6,1.3,0.5,0.2,0.1,1.2,8.1,88.9,87.6,4.5,6.8,72.9,12.3,4005,33.5,23887,82.8,3.8,109700,19228,2.93,20360,41520,14.6,749,6968,-11.4,3501,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,18,294114,644.78,88.9
Bullock County,AL,1011,10914,-6.8,11714,6.8,22.3,13.5,45.8,23,70.2,0.2,0.2,0.4,0.8,7.1,21.9,85.2,1.4,2.6,69.9,9,694,22.4,4493,70.3,10.5,65700,3929,2.7,17746,24206,34.7,120,1919,-18.5,390,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,108846,622.81,17.5
Butler County,AL,1013,20947,-2.1,21399,6.5,24.1,16.7,53,54.4,43.4,0.3,0.8,0,0.8,0.9,54.1,91.6,1,1.5,76.6,12.3,1667,24.6,9964,69.3,13.4,68000,8056,2.48,17221,27794,29.4,446,5400,2.1,1180,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,3,195055,776.83,27
Calhoun County,AL,1015,118572,5.6,112249,6.1,22.9,14.3,51.8,74.9,20.6,0.5,0.7,0.1,1.7,3.3,73.6,83.1,2.3,3.9,78.4,17.5,11652,22.6,53289,71.5,14.1,94600,47046,2.34,21372,37340,19,2444,38324,-5.6,6329,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,107,1830659,605.87,195.7
