,,,VC01,VC01,VC01,VC01,VC01,VC01,VC02,VC02,VC02,VC02,VC02,VC02,VC03,VC03,VC03,VC03,VC03,VC03,VC04,VC04,VC04,VC04,VC04,VC04,VC05,VC05,VC05,VC05,VC05,VC05,VC07,VC07,VC07,VC07,VC07,VC07,VC08,VC08,VC08,VC08,VC08,VC08,VC09,VC09,VC09,VC09,VC09,VC09,VC10,VC10,VC10,VC10,VC10,VC10,VC11,VC11,VC11,VC11,VC11,VC11,VC12,VC12,VC12,VC12,VC12,VC12,VC13,VC13,VC13,VC13,VC13,VC13,VC14,VC14,VC14,VC14,VC14,VC14,VC16,VC16,VC16,VC16,VC16,VC16,VC17,VC17,VC17,VC17,VC17,VC17,VC19,VC19,VC19,VC19,VC19,VC19,VC20,VC20,VC20,VC20,VC20,VC20,VC21,VC21,VC21,VC21,VC21,VC21,VC23,VC23,VC23,VC23,VC23,VC23,VC24,VC24,VC24,VC24,VC24,VC24,VC25,VC25,VC25,VC25,VC25,VC25,VC27,VC27,VC27,VC27,VC27,VC27,VC28,VC28,VC28,VC28,VC28,VC28,VC29,VC29,VC29,VC29,VC29,VC29,VC31,VC31,VC31,VC31,VC31,VC31,VC32,VC32,VC32,VC32,VC32,VC32,VC33,VC33,VC33,VC33,VC33,VC33,VC37,VC37,VC37,VC37,VC37,VC37,VC38,VC38,VC38,VC38,VC38,VC38,VC39,VC39,VC39,VC39,VC39,VC39,VC40,VC40,VC40,VC40,VC40,VC40,VC44,VC44,VC44,VC44,VC44,VC44,VC45,VC45,VC45,VC45,VC45,VC45,VC46,VC46,VC46,VC46,VC46,VC46,VC47,VC47,VC47,VC47,VC47,VC47,VC48,VC48,VC48,VC48,VC48,VC48,VC49,VC49,VC49,VC49,VC49,VC49,VC52,VC52,VC52,VC52,VC52,VC52
,,,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,"9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma",High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),"Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree",Associate's degree,Associate's degree,Associate's degree,Associate's degree,Associate's degree,Associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Educational attainment,Educational attainment,Educational attainment,Educational attainment,Educational attainment,Educational attainment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 25 years and over with earnings,Population 25 years and over with earnings,Population 25 years and over with earnings,Population 25 years and over with earnings,Population 25 years and over with earnings,Population 25 years and over with earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03,HC01,HC01,HC02,HC02,HC03,HC03
,,,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female,Total,Total,Male,Male,Female,Female
GEO.id,GEO.id2,GEO.display-label,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE,EST,MOE
Id,Id2,Geography,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
0500000US47001,47001,"Anderson County, Tennessee",5791,505,3154,471,2637,178,14.0,7.8,16.3,12.7,11.3,9.6,43.7,12.4,56.1,16.3,29.0,17.2,37.3,10.0,27.6,14.4,48.8,16.1,5.0,3.7,0.0,5.8,10.9,8.0,52528,619,24726,479,27802,548,4.8,1.5,4.4,1.6,5.1,2.2,6.4,1.5,6.2,2.0,6.5,2.3,36.9,3.9,37.6,4.9,36.3,4.8,23.2,3.1,20.8,4.0,25.3,4.3,5.7,1.6,4.6,1.7,6.6,2.5,12.3,2.2,14.2,3.4,10.6,2.7,10.7,2.0,12.1,3.0,9.5,2.4,88.8,2.4,89.4,2.8,88.4,3.6,23.1,3.1,26.3,4.2,20.1,3.5,8208,449,4036,314,4172,343,90.8,4.8,87.3,8.9,94.2,6.8,19.8,6.5,15.9,7.8,23.7,7.6,9144,552,4542,315,4602,258,93.7,3.4,94.7,3.7,92.7,4.9,23.0,6.4,26.6,11.6,19.4,8.3,22399,638,10734,444,11665,468,90.7,3.5,92.1,4.6,89.5,4.9,24.2,5.4,27.3,7.3,21.4,5.8,12777,193,5414,68,7363,185,80.8,5.6,81.0,6.9,80.6,6.8,23.1,4.9,31.9,7.4,16.6,6.0,26.7,9.9,20.5,10.3,31.8,14.2,17.6,5.9,19.4,8.4,15.9,5.4,7.5,3.4,4.5,3.5,9.7,4.8,2.7,2.2,2.0,2.4,3.6,3.4,32108,2522,42224,5780,24563,3390,18046,9518,27029,28921,12513,8791,24672,5084,30900,4249,20004,3644,32808,6939,47012,12246,25479,3275,48734,18189,79890,17577,33857,15665,64973,15792,84409,30325,41353,9642,4.4,,,,,
0500000US47009,47009,"Blount County, Tennessee",9903,1077,4865,561,5038,544,25.2,11.1,27.2,12.5,23.4,12.7,30.1,8.0,25.5,10.4,34.6,11.4,38.9,9.5,43.3,14.3,34.6,10.7,5.8,3.9,4.0,4.2,7.4,6.6,85806,1068,40689,1156,45117,454,4.3,1.2,2.9,1.1,5.6,2.0,9.1,2.0,10.0,2.8,8.3,2.0,39.7,3.5,41.8,4.5,37.7,4.2,21.6,2.8,18.3,3.1,24.4,3.9,6.2,1.6,6.7,2.4,5.9,1.9,12.6,1.8,15.1,2.6,10.3,2.3,6.5,1.4,5.1,1.7,7.8,1.9,86.6,2.2,87.1,2.9,86.1,2.4,19.1,2.4,20.3,2.9,18.1,3.1,13209,568,6475,254,6734,465,91.1,6.4,91.7,7.6,90.6,6.3,19.3,8.7,18.7,9.0,19.9,9.6,16538,709,8491,670,8047,230,91.6,3.4,91.9,4.8,91.2,5.1,15.2,5.2,13.9,6.6,16.5,5.8,35942,922,17089,841,18853,374,88.2,3.1,87.8,4.2,88.6,3.5,21.4,3.6,23.0,5.1,20.0,4.3,20117,423,8634,283,11483,458,76.6,4.6,77.5,6.3,75.9,5.7,18.2,4.2,22.3,7.5,15.1,4.9,24.5,8.1,21.2,10.9,27.3,9.1,13.0,3.5,13.1,5.3,12.9,4.3,9.6,3.9,7.5,5.1,11.2,5.5,0.8,1.0,1.1,1.9,0.5,0.8,26427,976,30692,1650,22063,1441,15900,4920,18571,3490,13432,3160,25322,3506,28713,4244,20249,4738,26457,1207,30026,7755,25168,5054,40582,8464,47734,9337,23621,6799,50733,4803,78393,28476,42986,7319,4.0,,,,,
