county labor_force employed unemployed unemp_percent
Anderson 36,210 32,960 3,250 9.0
Bedford 22,950 20,290 2,660 11.6
Benton 7,080 6,190 880 12.5
Bledsoe 4,900 4,270 630 12.8
Blount 63,590 58,280 5,310 8.4
Bradley 47,910 43,610 4,300 9.0
Campbell 16,720 14,690 2,030 12.1
Cannon 6,530 5,910 620 9.5
Carroll 13,880 11,850 2,040 14.7
Carter 29,620 26,690 2,930 9.9
Cheatham 20,670 18,810 1,860 9.0
Chester 7,820 7,020 800 10.2
Claiborne 13,000 11,550 1,450 11.1
Clay 3,340 2,930 410 12.2
Cocke 16,520 14,340 2,180 13.2
Coffee 25,550 22,970 2,580 10.1
Crockett 6,660 5,810 850 12.8
Cumberland 22,900 20,450 2,450 10.7
Davidson 328,690 299,880 28,810 8.8
Decatur 5,680 4,980 700 12.3
DeKalb 9,890 8,930 960 9.7
Dickson 23,650 21,310 2,340 9.9
Dyer 17,160 15,010 2,160 12.6
Fayette 17,910 16,000 1,910 10.7
Fentress 7,870 6,950 920 11.7
Franklin 19,640 17,630 2,010 10.2
Gibson 21,660 18,790 2,870 13.3
Giles 13,460 11,740 1,720 12.8
Grainger 10,060 8,770 1,290 12.8
Greene 29,790 25,850 3,940 13.2
Grundy 5,980 5,260 720 12.1
Hamblen 29,590 26,390 3,200 10.8
Hamilton 165,560 151,580 13,980 8.4
Hancock 2,620 2,220 400 15.4
Hardeman 11,040 9,570 1,460 13.3
Hardin 12,060 10,670 1,380 11.5
Hawkins 26,940 24,430 2,520 9.3
Haywood 9,250 7,840 1,410 15.2
Henderson 11,740 9,900 1,850 15.7
Henry 13,710 12,060 1,650 12.0
Hickman 10,130 8,940 1,190 11.7
Houston 4,000 3,580 420 10.4
Humphreys 9,220 8,230 990 10.8
Jackson 4,960 4,390 570 11.4
Jefferson 24,330 21,400 2,930 12.0
Johnson 7,330 6,360 980 13.3
Knox 232,390 214,800 17,590 7.6
Lake 2,740 2,440 290 10.7
Lauderdale 9,970 8,400 1,570 15.7
Lawrence 16,540 14,170 2,380 14.4
Lewis 5,480 4,680 810 14.7
Lincoln 17,350 16,220 1,130 6.5
Loudon 23,640 21,670 1,970 8.3
McMinn 23,200 20,310 2,890 12.4
McNairy 10,970 9,630 1,340 12.2
Macon 10,550 9,500 1,060 10.0
Madison 48,370 43,540 4,840 10.0
Marion 12,640 11,310 1,330 10.5
Marshall 12,350 10,320 2,030 16.4
Maury 36,060 30,870 5,200 14.4
Meigs 5,170 4,510 660 12.7
Monroe 18,420 15,880 2,530 13.8
Montgomery 71,490 64,980 6,510 9.1
Moore 3,080 2,780 300 9.6
Morgan 8,840 7,890 940 10.7
Obion 15,120 13,650 1,470 9.7
Overton 9,950 8,890 1,050 10.6
Perry 2,680 2,250 430 15.9
Pickett 1,850 1,590 260 14.3
Polk 7,070 6,250 820 11.6
Putnam 36,300 33,030 3,270 9.0
Rhea 13,280 11,600 1,680 12.6
Roane 27,740 25,520 2,220 8.0
Robertson 34,050 31,080 2,960 8.7
Rutherford 136,960 125,080 11,880 8.7
Scott 8,300 6,740 1,570 18.9
Sequatchie 6,270 5,610 660 10.5
Sevier 49,190 44,140 5,050 10.3
Shelby 432,370 389,080 43,290 10.0
Smith 9,200 8,240 960 10.4
Stewart 6,080 5,360 720 11.8
Sullivan 74,840 68,520 6,320 8.4
Sumner 81,140 74,050 7,090 8.7
Tipton 28,190 25,110 3,080 10.9
Trousdale 3,720 3,330 390 10.5
Unicoi 8,460 7,580 880 10.4
Union 8,890 8,060 830 9.3
VanBuren 2,340 2,030 310 13.3
Warren 17,100 15,140 1,960 11.5
Washington 63,040 57,840 5,210 8.3
Wayne 6,630 5,790 830 12.6
Weakley 15,810 13,980 1,830 11.6
White 10,900 9,600 1,300 11.9
Williamson 90,920 84,500 6,420 7.1
Wilson 59,360 54,450 4,920 8.3
