"Per capita personal income&nbsp;2/","FIPS","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009" 
"3","47000","Tennessee",27529 ,28127 ,28998 ,30255 ,31302 ,32881 ,34237 ,35119 ,34277 
"3","47998","Tennessee Metropolitan Portion",29700 ,30345 ,31150 ,32517 ,33597 ,35465 ,36872 ,37733 ,36640 
"3","47999","Tennessee Non-Metropolitan Portion",21783 ,22223 ,23236 ,24163 ,25075 ,25822 ,27002 ,27917 ,27723 
"3","47001","Anderson, TN",26810 ,28114 ,28994 ,29282 ,30141 ,31447 ,33121 ,34308 ,33851 
"3","47003","Bedford, TN",23904 ,23728 ,25062 ,26175 ,26984 ,27607 ,28587 ,29051 ,28256 
"3","47005","Benton, TN",19772 ,20264 ,20659 ,20973 ,22318 ,23207 ,24562 ,25840 ,26247 
"3","47007","Bledsoe, TN",17973 ,18146 ,18811 ,19613 ,20814 ,21777 ,22371 ,22669 ,22806 
"3","47009","Blount, TN",25013 ,25933 ,27146 ,27596 ,28429 ,29616 ,30855 ,30901 ,30362 
"3","47011","Bradley, TN",25052 ,25217 ,26378 ,27629 ,28260 ,28914 ,29931 ,30870 ,30335 
"3","47013","Campbell, TN",20377 ,20623 ,21376 ,22533 ,23793 ,23984 ,25576 ,26453 ,26174 
"3","47015","Cannon, TN",23673 ,24789 ,26446 ,26553 ,27671 ,28610 ,29810 ,29439 ,28708 
"3","47017","Carroll, TN",21740 ,22250 ,23383 ,23453 ,25323 ,25703 ,26331 ,27690 ,28216 
"3","47019","Carter, TN",20019 ,20782 ,20855 ,22103 ,22826 ,23932 ,25395 ,25857 ,25640 
"3","47021","Cheatham, TN",25671 ,26684 ,27516 ,28461 ,29708 ,31251 ,32152 ,33693 ,31498 
"3","47023","Chester, TN",21464 ,21651 ,22948 ,23050 ,23952 ,24855 ,26077 ,26580 ,26442 
"3","47025","Claiborne, TN",20804 ,20914 ,21245 ,22295 ,23589 ,24548 ,25858 ,26999 ,27092 
"3","47027","Clay, TN",20249 ,19898 ,20796 ,21922 ,22631 ,22746 ,23672 ,23452 ,23272 
"3","47029","Cocke, TN",18510 ,19037 ,19231 ,19629 ,20348 ,21096 ,22395 ,23233 ,23602 
"3","47031","Coffee, TN",24523 ,25993 ,27465 ,28361 ,28953 ,29624 ,31053 ,32523 ,31918 
"3","47033","Crockett, TN",22783 ,23026 ,24432 ,23924 ,25234 ,26169 ,27091 ,28859 ,29132 
"3","47035","Cumberland, TN",22303 ,22168 ,23149 ,23939 ,25010 ,26526 ,28076 ,29126 ,28794 
"3","47037","Davidson, TN",35549 ,36979 ,37693 ,39052 ,39764 ,42614 ,44023 ,45138 ,43457 
"3","47039","Decatur, TN",21933 ,21809 ,23243 ,24934 ,26341 ,27682 ,28780 ,29390 ,29582 
"3","47041","DeKalb, TN",22292 ,22632 ,23832 ,24035 ,25241 ,26234 ,27537 ,27767 ,27467 
"3","47043","Dickson, TN",23946 ,23776 ,24395 ,25856 ,27235 ,28643 ,29891 ,30181 ,29377 
"3","47045","Dyer, TN",24505 ,24340 ,25583 ,27043 ,27673 ,28609 ,30395 ,31779 ,31070 
"3","47047","Fayette, TN",27437 ,27501 ,28927 ,29362 ,31320 ,33280 ,34603 ,36392 ,35223 
"3","47049","Fentress, TN",20391 ,20223 ,20564 ,22535 ,23294 ,23963 ,25598 ,26124 ,26110 
"3","47051","Franklin, TN",21841 ,21348 ,22282 ,23454 ,24503 ,25224 ,26756 ,28038 ,27722 
"3","47053","Gibson, TN",23154 ,23533 ,25326 ,25694 ,26257 ,26944 ,28068 ,28639 ,28590 
"3","47055","Giles, TN",23228 ,23441 ,24134 ,24433 ,25473 ,25807 ,27461 ,28891 ,28458 
"3","47057","Grainger, TN",19936 ,20602 ,20775 ,21703 ,22426 ,23590 ,24854 ,25791 ,26091 
"3","47059","Greene, TN",23566 ,24635 ,27098 ,28917 ,29645 ,29949 ,31546 ,33040 ,31476 
"3","47061","Grundy, TN",19520 ,19181 ,20003 ,21047 ,21833 ,21732 ,22501 ,23273 ,23644 
"3","47063","Hamblen, TN",23989 ,24489 ,25535 ,26076 ,25935 ,26926 ,27717 ,28713 ,28579 
"3","47065","Hamilton, TN",31039 ,31697 ,32478 ,33398 ,34440 ,36549 ,38048 ,38209 ,36971 
"3","47067","Hancock, TN",14550 ,14923 ,15298 ,15665 ,16275 ,16943 ,17587 ,18664 ,19186 
"3","47069","Hardeman, TN",17801 ,18133 ,19259 ,19931 ,21021 ,22127 ,23570 ,24997 ,25061 
"3","47071","Hardin, TN",22465 ,22460 ,23157 ,24714 ,25798 ,26369 ,27740 ,29281 ,29225 
"3","47073","Hawkins, TN",21404 ,21522 ,21927 ,22859 ,23410 ,24307 ,25475 ,26791 ,26572 
"3","47075","Haywood, TN",20558 ,20413 ,21882 ,22574 ,23880 ,25375 ,26152 ,27921 ,30679 
"3","47077","Henderson, TN",21728 ,21751 ,22854 ,24232 ,24490 ,24780 ,25307 ,26128 ,25623 
"3","47079","Henry, TN",22873 ,22455 ,23440 ,25153 ,26249 ,26674 ,27745 ,28728 ,28990 
"3","47081","Hickman, TN",18080 ,17920 ,18750 ,19782 ,20908 ,21952 ,23266 ,23780 ,23584 
"3","47083","Houston, TN",20093 ,20202 ,21520 ,23006 ,24122 ,24580 ,25735 ,26553 ,26689 
"3","47085","Humphreys, TN",22492 ,22906 ,23779 ,24744 ,26019 ,26918 ,28349 ,29118 ,28784 
"3","47087","Jackson, TN",20869 ,22419 ,23922 ,24233 ,24946 ,25760 ,26959 ,26843 ,26735 
"3","47089","Jefferson, TN",23027 ,22954 ,23347 ,23918 ,24571 ,25381 ,26494 ,27406 ,26965 
"3","47091","Johnson, TN",15796 ,16774 ,16989 ,18067 ,18162 ,19362 ,21020 ,21781 ,22459 
"3","47093","Knox, TN",29947 ,30166 ,30553 ,31890 ,32845 ,34675 ,35732 ,36464 ,35278 
"3","47095","Lake, TN",13601 ,13697 ,14989 ,16452 ,17427 ,17799 ,19075 ,20052 ,20150 
"3","47097","Lauderdale, TN",18117 ,17709 ,18870 ,19118 ,19952 ,20802 ,21796 ,22737 ,22824 
"3","47099","Lawrence, TN",21184 ,21451 ,22693 ,22833 ,23009 ,23077 ,23735 ,24926 ,24898 
"3","47101","Lewis, TN",18522 ,18729 ,19487 ,20449 ,21310 ,21977 ,22822 ,23917 ,23712 
"3","47103","Lincoln, TN",22460 ,23003 ,23853 ,24916 ,26383 ,27240 ,28656 ,29715 ,29726 
"3","47105","Loudon, TN",26057 ,26989 ,28239 ,30133 ,31071 ,32627 ,34717 ,35970 ,34888 
"3","47107","McMinn, TN",21427 ,21791 ,22876 ,23777 ,24844 ,25713 ,26940 ,27019 ,26787 
"3","47109","McNairy, TN",22019 ,22427 ,23073 ,23801 ,24548 ,24983 ,25987 ,26414 ,26037 
"3","47111","Macon, TN",21091 ,21307 ,21855 ,23614 ,24787 ,25097 ,26203 ,26493 ,25608 
"3","47113","Madison, TN",25977 ,26900 ,27982 ,29152 ,30066 ,30927 ,32519 ,33810 ,33023 
"3","47115","Marion, TN",22283 ,22369 ,22881 ,24728 ,26260 ,27975 ,29138 ,30045 ,29715 
"3","47117","Marshall, TN",24771 ,25434 ,24819 ,25142 ,25233 ,25376 ,25798 ,26355 ,25299 
"3","47119","Maury, TN",26486 ,27583 ,28809 ,28241 ,28078 ,28959 ,28720 ,29574 ,28415 
"3","47121","Meigs, TN",19421 ,20667 ,21930 ,22834 ,23695 ,24690 ,25598 ,25537 ,25404 
"3","47123","Monroe, TN",18582 ,19081 ,20340 ,21756 ,22569 ,23449 ,24171 ,24108 ,23567 
"3","47125","Montgomery, TN",25194 ,26196 ,28107 ,29302 ,32278 ,35524 ,36397 ,39809 ,39104 
"3","47127","Moore, TN",21876 ,21760 ,23545 ,25023 ,26398 ,27706 ,29395 ,30999 ,31514 
"3","47129","Morgan, TN",18859 ,18806 ,19007 ,19794 ,22034 ,23087 ,23969 ,24941 ,25929 
"3","47131","Obion, TN",25348 ,25004 ,25934 ,26965 ,28618 ,28349 ,30393 ,32242 ,32968 
"3","47133","Overton, TN",19631 ,20040 ,21020 ,21314 ,22162 ,22657 ,23814 ,25065 ,24811 
"3","47135","Perry, TN",22162 ,21417 ,22431 ,24320 ,25468 ,26006 ,26922 ,26605 ,26031 
"3","47137","Pickett, TN",17774 ,17526 ,18587 ,20643 ,21602 ,22217 ,24014 ,25055 ,25137 
"3","47139","Polk, TN",21225 ,21386 ,21895 ,23680 ,24667 ,25190 ,27294 ,27884 ,27468 
"3","47141","Putnam, TN",23600 ,23988 ,24827 ,25742 ,26391 ,27185 ,28973 ,29890 ,29739 
"3","47143","Rhea, TN",19944 ,20947 ,21863 ,22524 ,22808 ,23811 ,25298 ,25548 ,25228 
"3","47145","Roane, TN",22859 ,24049 ,25097 ,26654 ,28246 ,29531 ,31347 ,32865 ,33015 
"3","47147","Robertson, TN",25622 ,25823 ,26785 ,28478 ,29762 ,30707 ,31404 ,32514 ,30570 
"3","47149","Rutherford, TN",26493 ,26654 ,27598 ,28670 ,29663 ,30388 ,31290 ,31571 ,30386 
"3","47151","Scott, TN",17590 ,17759 ,18125 ,19359 ,19948 ,20121 ,21561 ,21975 ,22341 
"3","47153","Sequatchie, TN",20923 ,20631 ,21421 ,23137 ,24441 ,26230 ,27232 ,28746 ,28547 
"3","47155","Sevier, TN",24140 ,26241 ,26955 ,28008 ,29434 ,30887 ,31834 ,32277 ,31949 
"3","47157","Shelby, TN",33155 ,33999 ,34762 ,36412 ,37405 ,39278 ,40909 ,41616 ,40547 
"3","47159","Smith, TN",22926 ,22511 ,23357 ,24780 ,25851 ,26740 ,28380 ,29184 ,27065 
"3","47161","Stewart, TN",20373 ,20512 ,21587 ,22661 ,24339 ,25547 ,26913 ,27938 ,28296 
"3","47163","Sullivan, TN",26206 ,26988 ,27500 ,28726 ,29240 ,31307 ,33312 ,34634 ,34081 
"3","47165","Sumner, TN",27952 ,27711 ,28616 ,30107 ,31486 ,32878 ,34394 ,34849 ,33557 
"3","47167","Tipton, TN",23890 ,23920 ,24864 ,26394 ,27891 ,29267 ,30631 ,32244 ,32451 
"3","47169","Trousdale, TN",21548 ,21853 ,22643 ,23106 ,23872 ,25019 ,25989 ,26767 ,25752 
"3","47171","Unicoi, TN",22221 ,22383 ,23607 ,25764 ,26912 ,27723 ,29285 ,30359 ,30116 
"3","47173","Union, TN",18113 ,18615 ,18702 ,19765 ,21292 ,22253 ,22937 ,23407 ,23447 
"3","47175","Van Buren, TN",20006 ,20616 ,21985 ,23990 ,24616 ,25642 ,25352 ,26277 ,26951 
"3","47177","Warren, TN",20416 ,20729 ,21579 ,22777 ,23571 ,24444 ,25090 ,26257 ,25740 
"3","47179","Washington, TN",25128 ,25498 ,26178 ,27925 ,28735 ,30413 ,32313 ,33985 ,33391 
