"Personal income","FIPS","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009" 
"1","47000","Tennessee",158442783 ,163227058 ,169829162 ,179011503 ,187679413 ,200226702 ,211342239 ,219160305 ,215819146 
"1","47998","Tennessee Metropolitan Portion",124069085 ,127996344 ,132832831 ,140295377 ,147189713 ,158089707 ,166853870 ,172769609 ,169564935 
"1","47999","Tennessee Non-Metropolitan Portion",34373698 ,35230714 ,36996331 ,38716126 ,40489700 ,42136995 ,44488369 ,46390696 ,46254211 
"1","47001","Anderson, TN",1912135 ,2006019 ,2069618 ,2088892 ,2162502 ,2289668 ,2428499 ,2545065 ,2533690 
"1","47003","Bedford, TN",921216 ,929776 ,1002534 ,1072692 ,1137289 ,1199377 ,1273007 ,1318458 ,1298265 
"1","47005","Benton, TN",328727 ,333925 ,338412 ,342321 ,363007 ,374535 ,396728 ,415282 ,420609 
"1","47007","Bledsoe, TN",224229 ,226045 ,235567 ,247787 ,264374 ,280200 ,292080 ,297282 ,295721 
"1","47009","Blount, TN",2699638 ,2839933 ,3015622 ,3119730 ,3274238 ,3495800 ,3697296 ,3758201 ,3728009 
"1","47011","Bradley, TN",2226119 ,2258388 ,2376398 ,2518681 ,2607347 ,2712277 ,2858316 ,2983428 ,2964034 
"1","47013","Campbell, TN",811089 ,821587 ,854176 ,910037 ,961520 ,971490 ,1037410 ,1078796 ,1072346 
"1","47015","Cannon, TN",307435 ,321288 ,344039 ,347922 ,363480 ,379534 ,400343 ,407255 ,397898 
"1","47017","Carroll, TN",641603 ,650046 ,682896 ,682457 ,726640 ,739614 ,757876 ,793538 ,804626 
"1","47019","Carter, TN",1138555 ,1181036 ,1215029 ,1291077 ,1339113 ,1410916 ,1496727 ,1530019 ,1513892 
"1","47021","Cheatham, TN",938288 ,985697 ,1022646 ,1069577 ,1130017 ,1206770 ,1258683 ,1331967 ,1256024 
"1","47023","Chester, TN",340091 ,343312 ,356819 ,364029 ,380329 ,397131 ,419273 ,432835 ,431317 
"1","47025","Claiborne, TN",626376 ,628213 ,644540 ,681227 ,726693 ,760115 ,804302 ,844759 ,846432 
"1","47027","Clay, TN",160733 ,158093 ,164846 ,174631 ,180438 ,181901 ,187550 ,185157 ,183731 
"1","47029","Cocke, TN",623241 ,646903 ,659363 ,676302 ,706248 ,740038 ,792613 ,831823 ,850784 
"1","47031","Coffee, TN",1190677 ,1273979 ,1359347 ,1416079 ,1466104 ,1522697 ,1606674 ,1696802 ,1676349 
"1","47033","Crockett, TN",331180 ,333006 ,349818 ,343837 ,362205 ,375087 ,390195 ,417295 ,422183 
"1","47035","Cumberland, TN",1063740 ,1077318 ,1136389 ,1194281 ,1271985 ,1386305 ,1495465 ,1565952 ,1558031 
"1","47037","Davidson, TN",20566005 ,21520922 ,22168236 ,23312244 ,24153330 ,26190954 ,27355356 ,28355798 ,27626360 
"1","47039","Decatur, TN",255977 ,253073 ,267368 ,287318 ,301022 ,314581 ,331111 ,339068 ,340933 
"1","47041","DeKalb, TN",390854 ,401351 ,427836 ,436157 ,460820 ,483318 ,511861 ,524733 ,520601 
"1","47043","Dickson, TN",1050425 ,1054314 ,1094073 ,1168974 ,1244785 ,1330175 ,1417140 ,1446108 ,1416846 
"1","47045","Dyer, TN",909345 ,902248 ,950672 ,1008456 ,1040134 ,1078248 ,1145281 ,1198773 ,1174804 
"1","47047","Fayette, TN",828352 ,852978 ,926327 ,972968 ,1064667 ,1194003 ,1287857 ,1391223 ,1366127 
"1","47049","Fentress, TN",340455 ,340106 ,346454 ,379632 ,396439 ,415380 ,445556 ,460401 ,461549 
"1","47051","Franklin, TN",865497 ,853146 ,894480 ,946473 ,993076 ,1031368 ,1102087 ,1154852 ,1145188 
"1","47053","Gibson, TN",1111374 ,1127409 ,1207813 ,1227979 ,1256547 ,1293918 ,1359481 ,1407544 ,1414275 
"1","47055","Giles, TN",686585 ,688345 ,702929 ,709743 ,740094 ,749801 ,796680 ,842862 ,827603 
"1","47057","Grainger, TN",415283 ,434224 ,444846 ,470990 ,495620 ,529315 ,561958 ,586511 ,596368 
"1","47059","Greene, TN",1491052 ,1562504 ,1725194 ,1855254 ,1923166 ,1958379 ,2077485 ,2183618 ,2086274 
"1","47061","Grundy, TN",277574 ,273443 ,284596 ,301186 ,312860 ,310655 ,322009 ,331471 ,334087 
"1","47063","Hamblen, TN",1410041 ,1430056 ,1499855 ,1545727 ,1559066 ,1639103 ,1717098 ,1794988 ,1801418 
"1","47065","Hamilton, TN",9672619 ,9969554 ,10291371 ,10684213 ,11149618 ,12008126 ,12598201 ,12766600 ,12465601 
"1","47067","Hancock, TN",98725 ,100700 ,101319 ,104092 ,108943 ,111804 ,117466 ,123314 ,126399 
"1","47069","Hardeman, TN",500683 ,508998 ,537064 ,554132 ,584291 ,614660 ,655375 ,695005 ,692015 
"1","47071","Hardin, TN",578846 ,579712 ,595540 ,632637 ,665885 ,685341 ,725382 ,768761 ,767389 
"1","47073","Hawkins, TN",1158944 ,1173076 ,1206043 ,1265969 ,1310191 ,1374606 ,1452719 ,1539356 ,1535419 
"1","47075","Haywood, TN",407951 ,399008 ,426077 ,442231 ,463324 ,489715 ,501208 ,531334 ,579257 
"1","47077","Henderson, TN",557552 ,560451 ,590372 ,627426 ,640087 ,657249 ,677200 ,704949 ,692759 
"1","47079","Henry, TN",712941 ,701889 ,727849 ,781667 ,821448 ,837537 ,874430 ,912132 ,924082 
"1","47081","Hickman, TN",410477 ,413063 ,432478 ,462439 ,488510 ,516278 ,553352 ,567788 ,561409 
"1","47083","Houston, TN",161370 ,161309 ,172162 ,181268 ,191507 ,195065 ,207243 ,215688 ,217625 
"1","47085","Humphreys, TN",405719 ,410815 ,425690 ,441486 ,465839 ,487165 ,517593 ,530558 ,525999 
"1","47087","Jackson, TN",231984 ,248671 ,265036 ,268236 ,273886 ,279267 ,292508 ,293501 ,290743 
"1","47089","Jefferson, TN",1040052 ,1049853 ,1090346 ,1130692 ,1176680 ,1249500 ,1335776 ,1406560 ,1394693 
"1","47091","Johnson, TN",279131 ,297236 ,303992 ,323708 ,327472 ,346998 ,379924 ,393433 ,404399 
"1","47093","Knox, TN",11614095 ,11853317 ,12193519 ,12865555 ,13451063 ,14467656 ,15176070 ,15718487 ,15371687 
"1","47095","Lake, TN",108194 ,107959 ,117346 ,125301 ,130893 ,132671 ,141385 ,147145 ,147157 
"1","47097","Lauderdale, TN",492168 ,479483 ,507747 ,509246 ,530469 ,552969 ,579765 ,604852 ,604167 
"1","47099","Lawrence, TN",847219 ,868607 ,918239 ,924361 ,935105 ,936797 ,970365 ,1023453 ,1028617 
"1","47101","Lewis, TN",211022 ,213374 ,222109 ,232544 ,241509 ,251329 ,263096 ,275280 ,273186 
"1","47103","Lincoln, TN",708914 ,727268 ,757228 ,791441 ,847456 ,883513 ,937988 ,985231 ,992065 
"1","47105","Loudon, TN",1041380 ,1099569 ,1169254 ,1269781 ,1343117 ,1447443 ,1574280 ,1662387 ,1630140 
"1","47107","McMinn, TN",1066755 ,1090675 ,1150182 ,1200669 ,1269324 ,1330700 ,1403970 ,1420513 ,1412744 
"1","47109","McNairy, TN",541370 ,551288 ,570498 ,591086 ,614642 ,632519 ,660019 ,677001 ,671656 
"1","47111","Macon, TN",438922 ,442573 ,456700 ,498981 ,526383 ,540688 ,568470 ,583033 ,564826 
"1","47113","Madison, TN",2415165 ,2514665 ,2622166 ,2746313 ,2853079 ,2974594 ,3141853 ,3270232 ,3213652 
"1","47115","Marion, TN",619954 ,622006 ,639059 ,685872 ,727372 ,781445 ,816409 ,843610 ,834045 
"1","47117","Marshall, TN",672096 ,694107 ,680716 ,698336 ,708875 ,728687 ,757993 ,791040 ,766039 
"1","47119","Maury, TN",1858261 ,1965714 ,2095985 ,2096476 ,2123827 ,2254733 ,2309635 ,2446576 ,2395430 
"1","47121","Meigs, TN",218036 ,232482 ,246561 ,259875 ,270740 ,285540 ,299603 ,304684 ,307586 
"1","47123","Monroe, TN",735229 ,767710 ,831371 ,910937 ,967672 ,1027520 ,1083220 ,1101028 ,1080059 
"1","47125","Montgomery, TN",3419143 ,3583838 ,3904431 ,4145134 ,4770261 ,5269410 ,5636488 ,6190129 ,6294899 
"1","47127","Moore, TN",126640 ,128625 ,137903 ,148211 ,157911 ,165820 ,177633 ,189526 ,192109 
"1","47129","Morgan, TN",376500 ,376010 ,381330 ,396282 ,424714 ,445708 ,469424 ,488053 ,485851 
