"Drug Related Offenses"
"Current date: 11/6/2011 8:29:02 PM (Central Standard Time)"
"Incident Date: 2010"
"Measures","Number of Crimes","Crime Rate (per 1,000)",
"Jurisdiction"
"Anderson","6,314","84.04"
"Blount","6,832","55.54"
"Bradley","7,902","79.85"
"Campbell","4,755","116.78"
"Carter","2,889","50.31"
"Claiborne","2,038","63.27"
"Cocke","3,740","104.87"
"Cumberland","4,458","79.53"
"Fentress","998","55.57"
"Grainger","912","40.25"
"Greene","5,232","76.01"
"Hamblen","6,491","103.78"
"Hamilton","31,880","94.75"
"Hancock","402","58.95"
"Hawkins","3,945","69.41"
"Jefferson","3,564","69.33"
"Johnson","860","47.14"
"Knox","36,884","85.33"
"Loudon","3,227","66.46"
"McMinn","5,295","101.31"
"Meigs","830","70.62"
"Monroe","3,253","73.07"
"Morgan","1,085","49.35"
"Overton","762","34.51"
"Pickett","57","11.23"
"Polk","869","51.65"
"Rhea","1,965","61.77"
"Roane","3,138","57.92"
"Scott","1,896","85.30"
"Sevier","8,695","96.73"
"Sullivan","15,297","97.54"
"Unicoi","740","40.41"
"Union","979","51.23"
"Washington","9,844","80.05"
"Bedford","2,879","63.90"
"Bledsoe","357","27.73"
"Cannon","513","37.17"
"Cheatham","2,474","63.27"
"Clay","344","43.76"
"Coffee","5,012","94.93"
"Davidson","85,661","136.69"
"DeKalb","1,429","76.32"
"Franklin","2,688","65.48"
"Giles","1,855","62.91"
"Grundy","529","38.60"
"Jackson","503","43.22"
"Lincoln","2,244","67.26"
"Macon","961","43.19"
"Marion","1,803","63.85"
"Marshall","1,398","45.66"
"Maury","8,543","105.53"
"Montgomery","13,919","80.77"
"Moore","265","41.65"
"Putnam","6,616","91.48"
"Robertson","3,440","51.90"
"Rutherford","19,974","76.06"
"Sequatchie","797","56.48"
"Smith","601","31.36"
"Sumner","9,606","59.80"
"Trousdale","711","90.34"
"Van Buren","282","50.83"
"Warren","2,555","64.13"
"White","1,852","71.67"
"Williamson","5,525","30.16"
"Wilson","7,912","69.41"
"Benton","904","54.82"
"Carroll","1,332","46.70"
"Chester","1,066","62.23"
"Crockett","689","47.24"
"Decatur","646","54.95"
"Dickson","3,881","78.14"
"Dyer","4,560","118.95"
"Fayette","2,112","54.98"
"Gibson","4,142","83.37"
"Hardeman","1,868","68.54"
"Hardin","2,416","92.83"
"Haywood","2,134","113.59"
"Henderson","2,798","100.76"
"Henry","2,241","69.32"
"Hickman","1,015","41.11"
"Houston","517","61.36"
"Humphreys","780","42.08"
"Lake","216","27.58"
"Lauderdale","2,485","89.34"
"Lawrence","4,404","105.19"
"Lewis","867","71.29"
"Madison","13,168","133.97"
"McNairy","1,353","51.89"
"Obion","2,413","75.86"
"Perry","384","48.52"
"Shelby","131,009","141.23"
"Stewart","546","40.98"
"Tipton","5,300","86.77"
"Wayne","437","25.67"
"Weakley","2,280","65.10"
