"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
"Anderson","2001","18","17","71323","0.25"
,"2002","17","17","71354","0.24"
,"2003","18","18","71382","0.25"
,"2004","27","25","71338","0.38"
,"2005","26","24","71747","0.36"
,"2006","24","22","72810","0.33"
,"2007","28","23","73322","0.38"
,"2008","22","22","74169","0.30"
,"2009","19","18","74849","0.25"
,"2010","23","21","75129","0.31"
"Blount","2001","24","22","107929","0.22"
,"2002","17","17","109512","0.16"
,"2003","19","18","111091","0.17"
,"2004","21","21","113051","0.19"
,"2005","22","21","115174","0.19"
,"2006","24","23","118037","0.20"
,"2007","19","18","119828","0.16"
,"2008","13","13","121511","0.11"
,"2009","22","21","122784","0.18"
,"2010","13","13","123010","0.11"
"Bradley","2001","25","23","88859","0.28"
,"2002","36","31","89557","0.40"
,"2003","35","33","90089","0.39"
,"2004","70","61","91162","0.77"
,"2005","66","59","92264","0.72"
,"2006","48","47","93804","0.51"
,"2007","57","46","95497","0.60"
,"2008","41","34","96472","0.42"
,"2009","51","51","97710","0.52"
,"2010","43","37","98963","0.43"
"Campbell","2001","14","14","39805","0.35"
,"2002","21","21","39839","0.53"
,"2003","35","29","39960","0.88"
,"2004","26","24","40387","0.64"
,"2005","30","29","40412","0.74"
,"2006","31","28","40505","0.77"
,"2007","24","22","40562","0.59"
,"2008","20","19","40936","0.49"
,"2009","31","31","40970","0.76"
,"2010","19","19","40716","0.47"
"Carter","2001","18","18","56875","0.32"
,"2002","25","25","56830","0.44"
,"2003","10","10","58260","0.17"
,"2004","11","11","58412","0.19"
,"2005","4","4","58666","0.07"
,"2006","10","10","58956","0.17"
,"2007","13","13","58938","0.22"
,"2008","8","8","59492","0.13"
,"2009","7","6","59043","0.12"
,"2010","17","17","57424","0.30"
"Claiborne","2001","13","13","30108","0.43"
,"2002","12","12","30038","0.40"
,"2003","24","24","30338","0.79"
,"2004","37","36","30555","1.21"
,"2005","23","23","30806","0.75"
,"2006","14","14","30964","0.45"
,"2007","25","23","31105","0.80"
,"2008","39","39","31461","1.24"
,"2009","13","13","31243","0.42"
,"2010","19","19","32213","0.59"
"Cocke","2001","7","6","33670","0.21"
,"2002","13","12","33982","0.38"
,"2003","14","11","34287","0.41"
,"2004","18","16","34455","0.52"
,"2005","10","10","34708","0.29"
,"2006","9","9","35079","0.26"
,"2007","15","15","35393","0.42"
,"2008","14","13","35688","0.39"
,"2009","10","10","36047","0.28"
,"2010","6","6","35662","0.17"
"Cumberland","2001","21","17","47694","0.44"
,"2002","48","38","48597","0.99"
,"2003","39","34","49090","0.79"
,"2004","14","14","49888","0.28"
,"2005","15","11","50859","0.29"
,"2006","13","12","52263","0.25"
,"2007","15","11","53264","0.28"
,"2008","9","9","53590","0.17"
,"2009","9","9","54109","0.17"
,"2010","3","2","56053","0.05"
"Fentress","2001","10","6","16696","0.60"
,"2002","5","5","16818","0.30"
,"2003","6","5","16848","0.36"
,"2004","7","7","16846","0.42"
,"2005","6","6","17019","0.35"
,"2006","8","7","17334","0.46"
,"2007","15","14","17406","0.86"
,"2008","18","18","17667","1.02"
,"2009","13","13","17677","0.74"
,"2010","12","11","17959","0.67"
"Grainger","2001","18","17","20831","0.86"
,"2002","5","5","21077","0.24"
,"2003","3","3","21413","0.14"
,"2004","1","1","21702","0.05"
,"2005","","","22100",""
,"2006","2","2","22438","0.09"
,"2007","","","22610",""
,"2008","","","22708",""
,"2009","5","3","22857","0.22"
,"2010","1","1","22657","0.04"
"Greene","2001","5","5","63272","0.08"
,"2002","4","4","63426","0.06"
,"2003","4","4","63665","0.06"
,"2004","1","1","64159","0.02"
,"2005","1","1","64874","0.02"
,"2006","4","4","65391","0.06"
