"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:10:59 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
"Jurisdiction","Arrest Date"
"Anderson","2001","2,479","71323","34.76"
,"2002","2,806","71354","39.33"
,"2003","3,159","71382","44.25"
,"2004","3,325","71338","46.61"
,"2005","3,004","71747","41.87"
,"2006","3,326","72810","45.68"
,"2007","4,094","73322","55.84"
,"2008","4,372","74169","58.95"
,"2009","4,369","74849","58.37"
,"2010","4,170","75129","55.50"
"Blount","2001","2,652","107929","24.57"
,"2002","2,545","109512","23.24"
,"2003","2,862","111091","25.76"
,"2004","3,055","113051","27.02"
,"2005","5,221","115174","45.33"
,"2006","5,802","118037","49.15"
,"2007","6,161","119828","51.42"
,"2008","5,987","121511","49.27"
,"2009","6,261","122784","50.99"
,"2010","5,905","123010","48.00"
"Bradley","2001","3,396","88859","38.22"
,"2002","4,053","89557","45.26"
,"2003","4,829","90089","53.60"
,"2004","5,566","91162","61.06"
,"2005","5,871","92264","63.63"
,"2006","5,980","93804","63.75"
,"2007","5,766","95497","60.38"
,"2008","5,627","96472","58.33"
,"2009","5,360","97710","54.86"
,"2010","5,860","98963","59.21"
"Campbell","2001","1,276","39805","32.06"
,"2002","1,619","39839","40.64"
,"2003","2,101","39960","52.58"
,"2004","1,837","40387","45.48"
,"2005","2,014","40412","49.84"
,"2006","1,746","40505","43.11"
,"2007","2,126","40562","52.41"
,"2008","1,915","40936","46.78"
,"2009","2,453","40970","59.87"
,"2010","2,465","40716","60.54"
"Carter","2001","2,018","56875","35.48"
,"2002","1,941","56830","34.15"
,"2003","2,646","58260","45.42"
,"2004","2,577","58412","44.12"
,"2005","2,756","58666","46.98"
,"2006","2,937","58956","49.82"
,"2007","3,456","58938","58.64"
,"2008","3,463","59492","58.21"
,"2009","3,240","59043","54.88"
,"2010","3,009","57424","52.40"
"Claiborne","2001","571","30108","18.97"
,"2002","634","30038","21.11"
,"2003","1,359","30338","44.80"
,"2004","1,322","30555","43.27"
,"2005","1,293","30806","41.97"
,"2006","1,037","30964","33.49"
,"2007","1,447","31105","46.52"
,"2008","1,607","31461","51.08"
,"2009","1,869","31243","59.82"
,"2010","2,159","32213","67.02"
"Cocke","2001","1,485","33670","44.10"
,"2002","1,311","33982","38.58"
,"2003","1,301","34287","37.94"
,"2004","1,224","34455","35.52"
,"2005","1,222","34708","35.21"
,"2006","1,293","35079","36.86"
,"2007","1,283","35393","36.25"
,"2008","1,092","35688","30.60"
,"2009","1,263","36047","35.04"
,"2010","1,410","35662","39.54"
"Cumberland","2001","2,682","47694","56.23"
,"2002","3,053","48597","62.82"
