"Drug Related Offenses"
"Current date: 11/6/2011 7:11:47 PM (Central Standard Time)"
"Incident Date: 2010"
"Offense Type","Drug/Narcotic Violations","Drug/Narcotic Equipment Violations",
"Measures","Number of Crimes","Number of Crimes",
"Jurisdiction"
"Anderson","741","255"
"Blount","473","290"
"Bradley","497","262"
"Campbell","403","280"
"Carter","204","114"
"Claiborne","196","83"
"Cocke","146","107"
"Cumberland","368","221"
"Fentress","124","74"
"Grainger","118","89"
"Greene","124","90"
"Hamblen","305","98"
"Hamilton","2,106","873"
"Hancock","32","14"
"Hawkins","111","74"
"Jefferson","329","198"
"Johnson","60","41"
"Knox","2,477","1,717"
"Loudon","234","96"
"McMinn","440","353"
"Meigs","93","59"
"Monroe","120","78"
"Morgan","58","23"
"Overton","149","50"
"Pickett","14","11"
"Polk","166","101"
"Rhea","248","120"
"Roane","295","87"
"Scott","173","61"
"Sevier","495","212"
"Sullivan","874","451"
"Unicoi","122","79"
"Union","69","41"
"Washington","507","263"
"Bedford","165","62"
"Bledsoe","35","10"
"Cannon","66","45"
"Cheatham","157","82"
"Clay","54","38"
"Coffee","644","151"
"Davidson","7,750","3,673"
"DeKalb","188","92"
"Franklin","247","147"
"Giles","149","52"
"Grundy","37","11"
"Jackson","44","23"
"Lincoln","106","62"
"Macon","80","24"
"Marion","123","54"
"Marshall","51","27"
"Maury","856","290"
"Montgomery","1,020","481"
"Moore","16","8"
"Putnam","407","240"
"Robertson","233","73"
"Rutherford","1,408","603"
"Sequatchie","74","25"
"Smith","61","16"
"Sumner","982","631"
"Trousdale","17","7"
"Van Buren","32","18"
"Warren","281","135"
"White","138","25"
"Williamson","621","345"
"Wilson","693","301"
"Benton","78","30"
"Carroll","171","77"
"Chester","67","33"
"Crockett","26","14"
"Decatur","17","7"
"Dickson","127","42"
"Dyer","377","120"
"Fayette","192","85"
"Gibson","167","97"
"Hardeman","104","28"
"Hardin","132","74"
"Haywood","109","33"
"Henderson","177","87"
"Henry","303","151"
"Hickman","149","79"
"Houston","8","5"
"Humphreys","139","79"
"Lake","17","9"
"Lauderdale","63","22"
"Lawrence","432","187"
"Lewis","120","70"
"Madison","673","335"
"McNairy","114","24"
"Obion","98","53"
"Perry","28","11"
"Shelby","6,928","1,847"
"Stewart","27","19"
"Tipton","417","216"
"Wayne","71","45"
"Weakley","212","144"
