county,population,housing_units,total_area_sqmi,water_area_sqmi,land_area_sqmi,population_density_sqmi,housing_units_sqmi
Anderson,75129,34717,344.80,7.63,337.16,222.8,103.0
Bedford,45058,18360,474.79,1.15,473.64,95.1,38.8
Benton,16489,8975,436.23,42.09,394.14,41.8,22.8
Bledsoe,12876,5718,406.75,0.32,406.42,31.7,14.1
Blount,123010,55266,566.55,7.84,558.71,220.2,98.9
Bradley,98963,41395,331.45,2.69,328.76,301.0,125.9
Campbell,40716,19966,498.15,17.96,480.19,84.8,41.6
Cannon,13801,6037,265.70,0.06,265.64,52.0,22.7
Carroll,28522,13184,600.08,0.83,599.25,47.6,22.0
Carter,57424,27746,347.63,6.43,341.20,168.3,81.3
Cheatham,39105,15663,307.06,4.62,302.44,129.3,51.8
Chester,17131,6980,285.96,0.22,285.74,60.0,24.4
Claiborne,32213,14859,441.57,6.99,434.58,74.1,34.2
Clay,7861,4282,259.34,22.81,236.54,33.2,18.1
Cocke,35662,17459,443.14,8.57,434.57,82.1,40.2
Coffee,52796,23434,434.55,5.60,428.96,123.1,54.6
Crockett,14586,6425,265.74,0.20,265.53,54.9,24.2
Cumberland,56053,28151,684.82,3.79,681.03,82.3,41.3
Davidson,626681,283978,525.94,21.91,504.03,1243.3,563.4
Decatur,11757,6873,344.88,11.04,333.84,35.2,20.6
DeKalb,18723,9405,328.99,24.64,304.35,61.5,30.9
Dickson,49666,20820,491.32,1.42,489.90,101.4,42.5
Dyer,38335,16703,526.53,14.20,512.33,74.8,32.6
Fayette,38413,15669,706.24,1.45,704.79,54.5,22.2
Fentress,17959,8961,498.93,0.32,498.61,36.0,18.0
Franklin,41052,18697,575.74,21.19,554.54,74.0,33.7
Gibson,49683,21999,603.65,0.91,602.74,82.4,36.5
Giles,29485,13844,611.17,0.25,610.93,48.3,22.7
Grainger,22657,10894,302.46,21.86,280.60,80.7,38.8
Greene,68831,32025,624.12,1.95,622.16,110.6,51.5
Grundy,13703,6397,361.12,0.59,360.53,38.0,17.7
Hamblen,62544,26963,175.80,14.62,161.18,388.0,167.3
Hamilton,336463,151107,575.88,33.45,542.43,620.3,278.6
Hancock,6819,3624,223.49,1.15,222.34,30.7,16.3
Hardeman,27253,10851,670.38,2.61,667.77,40.8,16.2
Hardin,26026,13946,596.29,18.98,577.32,45.1,24.2
Hawkins,56833,26870,499.60,12.62,486.98,116.7,55.2
Haywood,18787,8315,534.06,0.95,533.11,35.2,15.6
Henderson,27769,12776,525.88,5.81,520.07,53.4,24.6
Henry,32330,17054,593.42,31.32,562.10,57.5,30.3
Hickman,24690,10311,612.63,0.13,612.50,40.3,16.8
