Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
Anderson,2001,243,"71,323",3.41,3.407035599
,2002,342,"71,354",4.79,
,2003,501,"71,382",7.02,
,2004,479,"71,338",6.71,
,2005,357,"71,747",4.98,
,2006,393,"72,810",5.4,
,2007,524,"73,322",7.15,
,2008,541,"74,169",7.29,
,2009,743,"74,849",9.93,
,2010,741,"75,129",9.86,
Blount,2001,457,"107,929",4.23,
,2002,291,"109,512",2.66,
,2003,311,"111,091",2.8,
,2004,334,"113,051",2.95,
,2005,419,"115,174",3.64,
,2006,328,"118,037",2.78,
,2007,454,"119,828",3.79,
,2008,440,"121,511",3.62,
,2009,459,"122,784",3.74,
,2010,473,"123,010",3.85,
Bradley,2001,364,"88,859",4.1,
,2002,485,"89,557",5.42,
,2003,610,"90,089",6.77,
,2004,649,"91,162",7.12,
,2005,537,"92,264",5.82,
,2006,418,"93,804",4.46,
,2007,562,"95,497",5.89,
,2008,401,"96,472",4.16,
,2009,436,"97,710",4.46,
,2010,498,"98,963",5.03,
Campbell,2001,187,"39,805",4.7,
,2002,195,"39,839",4.89,
,2003,370,"39,960",9.26,
,2004,274,"40,387",6.78,
,2005,390,"40,412",9.65,
,2006,268,"40,505",6.62,
,2007,264,"40,562",6.51,
,2008,236,"40,936",5.77,
,2009,394,"40,970",9.62,
,2010,403,"40,716",9.9,
Carter,2001,96,"56,875",1.69,
,2002,117,"56,830",2.06,
,2003,128,"58,260",2.2,
,2004,127,"58,412",2.17,
,2005,163,"58,666",2.78,
,2006,180,"58,956",3.05,
,2007,161,"58,938",2.73,
,2008,178,"59,492",2.99,
,2009,204,"59,043",3.46,
,2010,206,"57,424",3.59,
Claiborne,2001,46,"30,108",1.53,
,2002,94,"30,038",3.13,
,2003,166,"30,338",5.47,
,2004,116,"30,555",3.8,
,2005,131,"30,806",4.25,
,2006,148,"30,964",4.78,
,2007,190,"31,105",6.11,
,2008,258,"31,461",8.2,
,2009,217,"31,243",6.95,
,2010,196,"32,213",6.08,
Cocke,2001,81,"33,670",2.41,
,2002,38,"33,982",1.12,
,2003,47,"34,287",1.37,
,2004,82,"34,455",2.38,
,2005,127,"34,708",3.66,
,2006,96,"35,079",2.74,
,2007,113,"35,393",3.19,
,2008,103,"35,688",2.89,
,2009,109,"36,047",3.02,
,2010,146,"35,662",4.09,
Cumberland,2001,201,"47,694",4.21,
,2002,276,"48,597",5.68,
,2003,307,"49,090",6.25,
,2004,447,"49,888",8.96,
,2005,376,"50,859",7.39,
,2006,306,"52,263",5.86,
,2007,294,"53,264",5.52,
,2008,221,"53,590",4.12,
,2009,319,"54,109",5.9,
,2010,368,"56,053",6.57,
Fentress,2001,118,"16,696",7.07,
,2002,61,"16,818",3.63,
,2003,202,"16,848",11.99,
,2004,283,"16,846",16.8,
,2005,113,"17,019",6.64,
,2006,91,"17,334",5.25,
,2007,121,"17,406",6.95,
,2008,140,"17,667",7.92,
,2009,124,"17,677",7.01,
,2010,124,"17,959",6.9,
Grainger,2001,147,"20,831",7.06,
,2002,141,"21,077",6.69,
,2003,161,"21,413",7.52,
,2004,171,"21,702",7.88,
,2005,120,"22,100",5.43,
,2006,128,"22,438",5.7,
