County Original Renewal/Reinstatement Duplicate Free NewResident Total
Anderson 716 737 70 31 7 1,561
Bedford 277 349 56 8 5 695
Benton 62 203 16 9 3 293
Bledsoe 72 162 14 6 5 259
Blount 1,024 1,097 145 33 27 2,326
Bradley 631 886 98 25 17 1,657
Campbell 306 425 41 13 10 795
Cannon 88 176 29 6 1 300
Carroll 155 276 30 9 4 474
Carter 404 490 41 10 5 950
Cheatham 240 512 34 17 4 807
Chester 135 172 15 6 6 334
Claiborne 262 300 24 16 8 610
Clay 42 67 8 0 2 119
Cocke 338 357 14 9 10 728
Coffee 322 526 78 7 10 943
Crockett 103 119 25 2 1 250
Cumberland 405 571 65 14 27 1,082
Davidson 2,696 3,392 543 132 37 6,800
Decatur 51 165 12 7 1 236
DeKalb 142 285 26 5 0 458
Dickson 378 481 56 16 7 938
Dyer 175 315 35 7 1 533
Fayette 283 702 91 15 3 1,094
Fentress 126 177 18 6 5 332
Franklin 212 372 40 6 3 633
Gibson 372 407 62 18 2 861
Giles 268 240 30 5 5 548
Grainger 213 187 21 13 4 438
Greene 527 698 68 16 10 1,319
Grundy 95 165 7 8 1 276
Hamblen 613 463 50 10 7 1,143
Hamilton 1,898 2,296 287 83 39 4,603
Hancock 39 45 4 2 0 90
Hardeman 107 214 28 3 0 352
Hardin 188 284 36 8 0 516
Hawkins 495 566 47 18 9 1,135
Haywood 121 113 15 9 1 259
Henderson 206 290 23 3 4 526
Henry 193 356 42 7 8 606
Hickman 151 269 32 6 0 458
Houston 50 98 7 2 1 158
Humphreys 116 191 21 4 4 336
Jackson 62 105 8 2 1 178
Jefferson 403 455 30 17 8 913
Johnson 94 123 13 3 3 236
Knox 3,041 2,845 331 106 45 6,368
Lake 23 68 2 2 0 95
Lauderdale 153 222 30 8 3 416
Lawrence 258 369 59 15 7 708
Lewis 101 120 13 2 1 237
Lincoln 217 233 32 3 2 487
Loudon 441 502 59 22 8 1,032
McMinn 399 671 61 12 4 1,147
McNairy 140 250 29 2 5 426
Macon 134 189 21 2 3 349
Madison 632 834 140 41 8 1,655
Marion 127 239 19 9 3 397
Marshall 144 245 40 5 5 439
Maury 635 824 96 23 10 1,588
Meigs 89 134 20 6 5 254
Monroe 337 356 57 11 13 774
Montgomery 1,124 948 140 51 27 2,290
Moore 58 61 7 5 1 132
Morgan 160 206 8 8 3 385
Obion 255 188 43 2 0 488
Overton 111 172 12 3 11 309
Perry 56 139 7 9 2 213
Pickett 44 42 4 6 1 97
Polk 108 163 17 6 4 298
Putnam 600 626 101 22 13 1,362
Rhea 214 264 22 6 5 511
Roane 554 789 30 34 9 1,416
Robertson 436 757 74 21 6 1,294
Rutherford 1,668 1,814 265 56 23 3,826
Scott 140 240 23 10 1 414
Sequatchie 105 169 7 3 2 286
Sevier 679 703 80 26 41 1,529
Shelby 4,855 7,505 904 302 44 13,610
Smith 114 140 22 5 1 282
Stewart 94 148 11 4 3 260
Sullivan 1,085 1,470 126 50 27 2,758
Sumner 1,173 1,390 210 47 11 2,831
Tipton 474 795 140 37 3 1,449
Trousdale 52 58 7 2 1 120
Unicoi 136 252 16 6 7 417
Union 194 162 14 6 1 377
VanBuren 53 31 1 1 1 87
Warren 229 384 30 10 3 656
Washington 890 1,120 138 38 21 2,207
Wayne 74 169 13 2 1 259
Weakley 186 226 39 8 0 459
White 189 246 28 7 5 475
Williamson 1,214 1,225 158 49 32 2,678
Wilson 993 1,361 163 41 15 2,573
