county,num_crimes_with_handgun,num_offenses_with_handgun,num_incidents_with_handgun,population,crime_rate_per1000_with_handgun,incident_rate_per1000_with_handgun
Anderson,90,78,71,75129,1.20,0.95
Bedford,43,39,36,45058,0.95,0.80
Benton,19,14,14,16489,1.15,0.85
Bledsoe,5,5,5,12876,0.39,0.39
Blount,109,88,87,123010,0.89,0.71
Bradley,101,85,70,98963,1.02,0.71
Campbell,36,33,32,40716,0.88,0.79
Cannon,7,5,5,13801,0.51,0.36
Carroll,25,24,22,28522,0.88,0.77
Carter,39,31,31,57424,0.68,0.54
Cheatham,55,46,43,39105,1.41,1.10
Chester,21,19,19,17131,1.23,1.11
Claiborne,55,50,43,32213,1.71,1.33
Clay,7,7,7,7861,0.89,0.89
Cocke,57,47,47,35662,1.60,1.32
Coffee,71,51,50,52796,1.34,0.95
Crockett,22,19,17,14586,1.51,1.17
Cumberland,63,56,43,56053,1.12,0.77
Davidson,3124,2717,2660,626681,4.98,4.24
Decatur,12,12,12,11757,1.02,1.02
DeKalb,10,8,8,18723,0.53,0.43
Dickson,45,41,39,49666,0.91,0.79
Dyer,62,61,54,38335,1.62,1.41
Fayette,58,50,49,38413,1.51,1.28
Fentress,12,12,12,17959,0.67,0.67
Franklin,42,34,30,41052,1.02,0.73
Gibson,104,83,80,49683,2.09,1.61
Giles,11,10,10,29485,0.37,0.34
Grainger,17,15,15,22657,0.75,0.66
Greene,56,47,46,68831,0.81,0.67
Grundy,9,9,8,13703,0.66,0.58
Hamblen,103,85,80,62544,1.65,1.28
Hamilton,971,862,842,336463,2.89,2.50
Hancock,4,3,3,6819,0.59,0.44
Hardeman,63,52,41,27253,2.31,1.50
Hardin,33,21,19,26026,1.27,0.73
Hawkins,47,38,33,56833,0.83,0.58
Haywood,80,64,63,18787,4.26,3.35
Henderson,34,30,29,27769,1.22,1.04
Henry,32,28,26,32330,0.99,0.80
Hickman,22,19,18,24690,0.89,0.73
Houston,10,7,6,8426,1.19,0.71
Humphreys,6,6,6,18538,0.32,0.32
Jackson,5,5,4,11638,0.43,0.34
Jefferson,44,42,39,51407,0.86,0.76
Johnson,32,25,19,18244,1.75,1.04
Knox,889,777,750,432226,2.06,1.74
Lake,,,,7832,,
Lauderdale,75,54,53,27815,2.70,1.91
Lawrence,34,31,30,41869,0.81,0.72
Lewis,15,9,8,12161,1.23,0.66
Lincoln,45,34,32,33361,1.35,0.96
Loudon,38,36,34,48556,0.78,0.70
Macon,12,12,11,22248,0.54,0.49
Madison,351,321,311,98294,3.57,3.16
Marion,36,30,30,28237,1.27,1.06
Marshall,12,12,10,30617,0.39,0.33
Maury,195,138,120,80956,2.41,1.48
McMinn,82,63,61,52266,1.57,1.17
McNairy,20,20,19,26075,0.77,0.73
Meigs,10,9,7,11753,0.85,0.60
Monroe,44,40,37,44519,0.99,0.83
Montgomery,417,361,321,172331,2.42,1.86
Moore,3,3,3,6362,0.47,0.47
Morgan,4,3,3,21987,0.18,0.14
Obion,32,30,30,31807,1.01,0.94
Overton,15,10,10,22083,0.68,0.45
Perry,3,3,3,7915,0.38,0.38
Pickett,,,,5077,,
Polk,15,15,15,16825,0.89,0.89
Putnam,84,76,73,72321,1.16,1.01
Rhea,18,18,17,31809,0.57,0.53
Roane,35,29,28,54181,0.65,0.52
Robertson,122,90,86,66283,1.84,1.30
Rutherford,407,345,334,262604,1.55,1.27
Scott,34,20,19,22228,1.53,0.85
Sequatchie,20,20,18,14112,1.42,1.28
Sevier,111,96,91,89889,1.23,1.01
Shelby,5832,4884,4768,927644,6.29,5.14
Smith,11,8,7,19166,0.57,0.37
Stewart,9,9,8,13324,0.68,0.60
Sullivan,147,118,110,156823,0.94,0.70
Sumner,155,134,122,160645,0.96,0.76
Tipton,95,92,87,61081,1.56,1.42
Trousdale,9,6,6,7870,1.14,0.76
Unicoi,13,12,12,18313,0.71,0.66
Union,17,15,15,19109,0.89,0.78
Van Buren,2,2,2,5548,0.36,0.36
Warren,39,35,35,39839,0.98,0.88
Washington,114,94,85,122979,0.93,0.69
Wayne,13,13,13,17021,0.76,0.76
Weakley,33,29,25,35021,0.94,0.71
White,18,14,14,25841,0.70,0.54
Williamson,56,50,50,183182,0.31,0.27
Wilson,199,162,151,113993,1.75,1.32
