county,original,renewal-reinstatement,duplicate,free,new_resident,total
Anderson,716,737,70,31,7,1561
Bedford,277,349,56,8,5,695
Benton,62,203,16,9,3,293
Bledsoe,72,162,14,6,5,259
Blount,1024,1097,145,33,27,2326
Bradley,631,886,98,25,17,1657
Campbell,306,425,41,13,10,795
Cannon,88,176,29,6,1,300
Carroll,155,276,30,9,4,474
Carter,404,490,41,10,5,950
Cheatham,240,512,34,17,4,807
Chester,135,172,15,6,6,334
Claiborne,262,300,24,16,8,610
Clay,42,67,8,0,2,119
Cocke,338,357,14,9,10,728
Coffee,322,526,78,7,10,943
Crockett,103,119,25,2,1,250
Cumberland,405,571,65,14,27,1082
Davidson,2696,3392,543,132,37,6800
Decatur,51,165,12,7,1,236
DeKalb,142,285,26,5,0,458
Dickson,378,481,56,16,7,938
Dyer,175,315,35,7,1,533
Fayette,283,702,91,15,3,1094
Fentress,126,177,18,6,5,332
Franklin,212,372,40,6,3,633
Gibson,372,407,62,18,2,861
Giles,268,240,30,5,5,548
Grainger,213,187,21,13,4,438
Greene,527,698,68,16,10,1319
Grundy,95,165,7,8,1,276
Hamblen,613,463,50,10,7,1143
Hamilton,1898,2296,287,83,39,4603
Hancock,39,45,4,2,0,90
Hardeman,107,214,28,3,0,352
Hardin,188,284,36,8,0,516
Hawkins,495,566,47,18,9,1135
Haywood,121,113,15,9,1,259
Henderson,206,290,23,3,4,526
Henry,193,356,42,7,8,606
Hickman,151,269,32,6,0,458
Houston,50,98,7,2,1,158
Humphreys,116,191,21,4,4,336
Jackson,62,105,8,2,1,178
Jefferson,403,455,30,17,8,913
Johnson,94,123,13,3,3,236
Knox,3041,2845,331,106,45,6368
Lake,23,68,2,2,0,95
Lauderdale,153,222,30,8,3,416
Lawrence,258,369,59,15,7,708
Lewis,101,120,13,2,1,237
Lincoln,217,233,32,3,2,487
Loudon,43,43,2,2,0,90
McMinn,17,68,3,1,0,89
McNairy,9,25,1,0,0,35
Macon,8,11,1,0,0,20
Madison,59,78,11,2,0,150
Marion,5,16,2,1,0,24
Marshall,20,26,4,1,2,53
Maury,58,73,9,3,0,143
Meigs,2,10,2,0,1,15
Monroe,15,37,3,1,3,59
Montgomery,89,71,16,3,2,181
Moore,6,7,0,1,0,14
Morgan,2,18,0,1,2,23
Obion,19,14,2,0,0,35
Overton,6,11,0,0,0,17
Perry,11,14,1,1,0,27
Pickett,4,8,0,0,0,12
Polk,2,6,1,0,1,10
Putnam,51,46,17,1,2,117
Rhea,13,21,2,1,0,37
Roane,24,65,4,3,2,98
Robertson,31,73,5,1,0,110
Rutherford,115,154,21,3,2,295
Scott,11,28,2,0,0,41
Sequatchie,5,8,0,1,0,14
Sevier,41,58,10,1,5,115
Shelby,309,570,101,18,4,1002
Smith,14,14,0,0,0,28
Stewart,5,12,1,0,1,19
Sullivan,65,132,10,3,2,212
Sumner,56,120,14,5,1,196
Tipton,32,69,14,1,0,116
Trousdale,3,8,1,1,0,13
Unicoi,6,21,1,0,0,28
Union,10,19,1,0,0,30
Van Buren,4,3,0,0,0,7
Warren,10,39,5,0,1,55
Washington,72,83,15,4,0,174
Wayne,3,16,1,0,0,20
Weakley,16,19,3,1,0,39
White,9,24,3,0,0,36
Williamson,92,129,12,3,2,238
Wilson,48,130,14,2,0,194
