county,population,carry_permits_issued,num_crimes_with_handgun,crime_rate_per1000_with_handgun
Anderson,75129,1561,90,1.2
Bedford,45058,695,43,0.95
Benton,16489,293,19,1.15
Bledsoe,12876,259,5,0.39
Blount,123010,2326,109,0.89
Bradley,98963,1657,101,1.02
Campbell,40716,795,36,0.88
Cannon,13801,300,7,0.51
Carroll,28522,474,25,0.88
Carter,57424,950,39,0.68
Cheatham,39105,807,55,1.41
Chester,17131,334,21,1.23
Claiborne,32213,610,55,1.71
Clay,7861,119,7,0.89
Cocke,35662,728,57,1.6
Coffee,52796,943,71,1.34
Crockett,14586,250,22,1.51
Cumberland,56053,1082,63,1.12
Davidson,626681,6800,3124,4.98
Decatur,11757,236,12,1.02
DeKalb,18723,458,10,0.53
Dickson,49666,938,45,0.91
Dyer,38335,533,62,1.62
Fayette,38413,1094,58,1.51
Fentress,17959,332,12,0.67
Franklin,41052,633,42,1.02
Gibson,49683,861,104,2.09
Giles,29485,548,11,0.37
Grainger,22657,438,17,0.75
Greene,68831,1319,56,0.81
Grundy,13703,276,9,0.66
Hamblen,62544,1143,103,1.65
Hamilton,336463,4603,971,2.89
Hancock,6819,90,4,0.59
Hardeman,27253,352,63,2.31
Hardin,26026,516,33,1.27
Hawkins,56833,1135,47,0.83
Haywood,18787,259,80,4.26
Henderson,27769,526,34,1.22
Henry,32330,606,32,0.99
Hickman,24690,458,22,0.89
Houston,8426,158,10,1.19
Humphreys,18538,336,6,0.32
Jackson,11638,178,5,0.43
Jefferson,51407,913,44,0.86
Johnson,18244,236,32,1.75
Knox,432226,6368,889,2.06
Lake,7832,95,,
Lauderdale,27815,416,75,2.7
Lawrence,41869,708,34,0.81
Lewis,12161,237,15,1.23
Lincoln,33361,487,45,1.35
Loudon,48556,90,38,0.78
Macon,22248,89,12,0.54
Madison,98294,35,351,3.57
Marion,28237,20,36,1.27
Marshall,30617,150,12,0.39
Maury,80956,24,195,2.41
McMinn,52266,53,82,1.57
McNairy,26075,143,20,0.77
Meigs,11753,15,10,0.85
Monroe,44519,59,44,0.99
Montgomery,172331,181,417,2.42
Moore,6362,14,3,0.47
Morgan,21987,23,4,0.18
Obion,31807,35,32,1.01
Overton,22083,17,15,0.68
Perry,7915,27,3,0.38
Pickett,5077,12,,
Polk,16825,10,15,0.89
Putnam,72321,117,84,1.16
Rhea,31809,37,18,0.57
Roane,54181,98,35,0.65
Robertson,66283,110,122,1.84
Rutherford,262604,295,407,1.55
Scott,22228,41,34,1.53
Sequatchie,14112,14,20,1.42
Sevier,89889,115,111,1.23
Shelby,927644,1002,5832,6.29
Smith,19166,28,11,0.57
Stewart,13324,19,9,0.68
Sullivan,156823,212,147,0.94
Sumner,160645,196,155,0.96
Tipton,61081,116,95,1.56
Trousdale,7870,13,9,1.14
Unicoi,18313,28,13,0.71
Union,19109,30,17,0.89
Van Buren,5548,7,2,0.36
Warren,39839,55,39,0.98
Washington,122979,174,114,0.93
Wayne,17021,20,13,0.76
Weakley,35021,39,33,0.94
White,25841,36,18,0.7
Williamson,183182,238,56,0.31
Wilson,113993,194,199,1.75
