FIPS,County,Total SqMi,Water SqMi,Land SqMi
47001,Anderson,344.8,7.63,337.16
47003,Bedford,474.79,1.15,473.64
47005,Benton,436.23,42.09,394.14
47007,Bledsoe,406.75,0.32,406.42
47009,Blount,566.55,7.84,558.71
47011,Bradley,331.45,2.69,328.76
47013,Campbell,498.15,17.96,480.19
47015,Cannon,265.7,0.06,265.64
47017,Carroll,600.08,0.83,599.25
47019,Carter,347.63,6.43,341.2
47021,Cheatham,307.06,4.62,302.44
47023,Chester,285.96,0.22,285.74
47025,Claiborne,441.57,6.99,434.58
47027,Clay,259.34,22.81,236.54
47029,Cocke,443.14,8.57,434.57
47031,Coffee,434.55,5.6,428.96
47033,Crockett,265.74,0.2,265.53
47035,Cumberland,684.82,3.79,681.03
47037,Davidson,525.94,21.91,504.03
47039,Decatur,344.88,11.04,333.84
47041,DeKalb,328.99,24.64,304.35
47043,Dickson,491.32,1.42,489.9
47045,Dyer,526.53,14.2,512.33
47047,Fayette,706.24,1.45,704.79
47049,Fentress,498.93,0.32,498.61
47051,Franklin,575.74,21.19,554.54
47053,Gibson,603.65,0.91,602.74
47055,Giles,611.17,0.25,610.93
47057,Grainger,302.46,21.86,280.6
47059,Greene,624.12,1.95,622.16
47061,Grundy,361.12,0.59,360.53
47063,Hamblen,175.8,14.62,161.18
47065,Hamilton,575.88,33.45,542.43
47067,Hancock,223.49,1.15,222.34
47069,Hardeman,670.38,2.61,667.77
47071,Hardin,596.29,18.98,577.32
47073,Hawkins,499.6,12.62,486.98
47075,Haywood,534.06,0.95,533.11
47077,Henderson,525.88,5.81,520.07
47079,Henry,593.42,31.32,562.1
47081,Hickman,612.63,0.13,612.5
47083,Houston,206.97,6.69,200.29
47085,Humphreys,556.7,25.72,530.98
47087,Jackson,319.52,11.2,308.32
47089,Jefferson,314.3,40.23,274.08
47091,Johnson,302.72,4.25,298.47
47093,Knox,525.87,17.65,508.22
47095,Lake,193.89,28.11,165.78
47097,Lauderdale,507.58,35.59,471.99
47099,Lawrence,617.99,0.86,617.13
47101,Lewis,282.49,0.4,282.09
47103,Lincoln,570.72,0.38,570.34
47105,Loudon,247.37,18.15,229.22
47107,McMinn,432.18,2.06,430.12
47109,McNairy,563.61,0.75,562.86
47111,Macon,307.24,0.1,307.14
47113,Madison,558.63,1.51,557.12
47115,Marion,512.25,14.09,498.16
47117,Marshall,376.16,0.7,375.46
47119,Maury,615.58,2.44,613.14
47121,Meigs,216.75,21.63,195.12
47123,Monroe,652.56,16.99,635.56
47125,Montgomery,543.83,4.65,539.18
47127,Moore,130.42,1.19,129.22
47129,Morgan,522.49,0.31,522.18
47131,Obion,555.51,10.78,544.73
47133,Overton,434.83,1.35,433.48
47135,Perry,422.87,8.14,414.73
47137,Pickett,174.49,11.51,162.98
47139,Polk,442.33,7.66,434.68
47141,Putnam,402.56,1.46,401.1
47143,Rhea,336.41,21.03,315.38
47145,Roane,394.98,34.27,360.71
47147,Robertson,476.46,0.17,476.29
47149,Rutherford,624.05,4.69,619.36
47151,Scott,533.23,0.93,532.3
47153,Sequatchie,266.04,0.19,265.86
47155,Sevier,597.72,5.22,592.5
47157,Shelby,785.02,21.84,763.17
47159,Smith,325.37,11.08,314.29
47161,Stewart,493.01,33.68,459.33
47163,Sullivan,429.71,16.34,413.36
47165,Sumner,543.22,13.77,529.45
47167,Tipton,473.31,14.95,458.37
47169,Trousdale,116.64,2.45,114.19
47171,Unicoi,186.49,0.33,186.17
47173,Union,247.14,23.59,223.55
47175,Van Buren,274.53,1.12,273.42
47177,Warren,434.03,1.35,432.68
47179,Washington,329.8,3.33,326.46
47181,Wayne,735.65,1.55,734.1
47183,Weakley,581.78,1.42,580.36
47185,White,379.43,2.75,376.67
47187,Williamson,583.77,1.17,582.6
47189,Wilson,583.2,12.37,570.83
