County,Year,Labor Force,Employed,Unemployed,Unemployment Rate
Anderson,2001,"34,442","32,805","1,637",4.8
Anderson,2002,"34,675","33,020","1,655",4.8
Anderson,2003,"34,770","32,928","1,842",5.3
Anderson,2004,"34,744","33,030","1,714",4.9
Anderson,2005,"34,933","33,131","1,802",5.2
Anderson,2006,"35,738","34,042","1,696",4.7
Anderson,2007,"35,386","33,825","1,561",4.4
Anderson,2008,"35,798","33,708","2,090",5.8
Anderson,2009,"36,043","32,501","3,542",9.8
Anderson,2010,"36,211","32,961","3,250",9
Bedford,2001,"19,880","18,837","1,043",5.2
Bedford,2002,"19,967","18,862","1,105",5.5
Bedford,2003,"20,889","19,456","1,433",6.9
Bedford,2004,"21,068","19,923","1,145",5.4
Bedford,2005,"21,693","20,515","1,178",5.4
Bedford,2006,"22,152","20,989","1,163",5.3
Bedford,2007,"22,675","21,540","1,135",5
Bedford,2008,"22,488","20,958","1,530",6.8
Bedford,2009,"22,413","19,691","2,722",12.1
Bedford,2010,"22,945","20,285","2,660",11.6
Benton,2001,"7,113","6,592",521,7.3
Benton,2002,"6,978","6,460",518,7.4
Benton,2003,"6,983","6,308",675,9.7
Benton,2004,"6,860","6,278",582,8.5
Benton,2005,"6,819","6,254",565,8.3
Benton,2006,"6,945","6,448",497,7.2
Benton,2007,"6,910","6,472",438,6.3
Benton,2008,"7,059","6,440",619,8.8
Benton,2009,"7,052","6,078",974,13.8
Benton,2010,"7,076","6,192",884,12.5
Bledsoe,2001,"4,965","4,719",246,5
Bledsoe,2002,"5,089","4,791",298,5.9
Bledsoe,2003,"5,013","4,634",379,7.6
Bledsoe,2004,"4,786","4,424",362,7.6
Bledsoe,2005,"4,665","4,298",367,7.9
Bledsoe,2006,"4,864","4,547",317,6.5
Bledsoe,2007,"4,877","4,583",294,6
Bledsoe,2008,"4,923","4,508",415,8.4
Bledsoe,2009,"4,930","4,243",687,13.9
Bledsoe,2010,"4,896","4,269",627,12.8
Blount,2001,"55,864","53,459","2,405",4.3
Blount,2002,"56,933","54,468","2,465",4.3
Blount,2003,"57,621","54,987","2,634",4.6
Blount,2004,"58,571","56,059","2,512",4.3
Blount,2005,"59,769","56,962","2,807",4.7
Blount,2006,"61,616","58,937","2,679",4.3
Blount,2007,"62,021","59,476","2,545",4.1
Blount,2008,"63,443","59,523","3,920",6.2
Blount,2009,"63,713","57,465","6,248",9.8
Blount,2010,"63,591","58,278","5,313",8.4
Bradley,2001,"44,962","43,073","1,889",4.2
Bradley,2002,"44,851","42,628","2,223",5
Bradley,2003,"45,362","42,992","2,370",5.2
Bradley,2004,"46,191","43,852","2,339",5.1
Bradley,2005,"46,838","44,374","2,464",5.3
Bradley,2006,"48,016","45,605","2,411",5
Bradley,2007,"47,656","45,432","2,224",4.7
Bradley,2008,"47,562","44,513","3,049",6.4
Bradley,2009,"47,661","43,168","4,493",9.4
