County,Year,Estimated Population,Labor Force,Employed,Unemployed,Handgun Crimes,Drug Violations,Personal Income,Personal Income Per Capita,GINI Coefficient
Anderson,2001,"71,323","34,442","32,805","1,637",78,243,1802692,25308,0.435378277
Anderson,2002,"71,354","34,675","33,020","1,655",101,342,1912135,26810,
Anderson,2003,"71,382","34,770","32,928","1,842",113,501,2006019,28114,
Anderson,2004,"71,338","34,744","33,030","1,714",113,479,2069618,28994,
Anderson,2005,"71,747","34,933","33,131","1,802",104,357,2088892,29282,
Anderson,2006,"72,810","35,738","34,042","1,696",89,393,2162502,30141,
Anderson,2007,"73,322","35,386","33,825","1,561",148,524,2289668,31447,0.453
Anderson,2008,"74,169","35,798","33,708","2,090",94,541,2428499,33121,
Anderson,2009,"74,849","36,043","32,501","3,542",83,743,2545065,34308,
Anderson,2010,"75,129","36,211","32,961","3,250",92,741,2533690,33851,
Bedford,2001,"38,538","19,880","18,837","1,043",64,76,872644,23072,0.427121963
Bedford,2002,"39,185","19,967","18,862","1,105",52,115,921216,23904,
Bedford,2003,"40,002","20,889","19,456","1,433",46,131,929776,23728,
Bedford,2004,"40,981","21,068","19,923","1,145",57,113,1002534,25062,
Bedford,2005,"42,147","21,693","20,515","1,178",60,122,1072692,26175,
Bedford,2006,"43,444","22,152","20,989","1,163",63,116,1137289,26984,
Bedford,2007,"44,531","22,675","21,540","1,135",56,146,1199377,27607,0.436
Bedford,2008,"44,696","22,488","20,958","1,530",26,130,1273007,28587,
Bedford,2009,"45,947","22,413","19,691","2,722",52,178,1318458,29051,
Bedford,2010,"45,058","22,945","20,285","2,660",44,165,1298265,28256,
Benton,2001,"16,626","7,113","6,592",521,13,92,328453,19864,0.413341714
Benton,2002,"16,479","6,978","6,460",518,16,91,328727,19772,
Benton,2003,"16,381","6,983","6,308",675,21,113,333925,20264,
Benton,2004,"16,322","6,860","6,278",582,14,134,338412,20659,
Benton,2005,"16,265","6,819","6,254",565,17,148,342321,20973,
Benton,2006,"16,139","6,945","6,448",497,15,145,363007,22318,
Benton,2007,"16,152","6,910","6,472",438,11,116,374535,23207,0.436
Benton,2008,"16,193","7,059","6,440",619,10,118,396728,24562,
Benton,2009,"16,025","7,052","6,078",974,6,82,415282,25840,
Benton,2010,"16,489","7,076","6,192",884,19,78,420609,26247,
Bledsoe,2001,"12,476","4,965","4,719",246,11,27,219329,17668,0.478977565
Bledsoe,2002,"12,457","5,089","4,791",298,9,33,224229,17973,
Bledsoe,2003,"12,523","5,013","4,634",379,14,30,226045,18146,
Bledsoe,2004,"12,634","4,786","4,424",362,13,37,235567,18811,
Bledsoe,2005,"12,702","4,665","4,298",367,8,31,247787,19613,
Bledsoe,2006,"12,867","4,864","4,547",317,4,17,264374,20814,
Bledsoe,2007,"13,056","4,877","4,583",294,10,30,280200,21777,0.42
Bledsoe,2008,"13,142","4,923","4,508",415,6,18,292080,22371,
Bledsoe,2009,"12,967","4,930","4,243",687,9,15,297282,22669,
Bledsoe,2010,"12,876","4,896","4,269",627,5,35,295721,22806,
Blount,2001,"107,929","55,864","53,459","2,405",149,457,2582287,24313,0.428181931
Blount,2002,"109,512","56,933","54,468","2,465",126,291,2699638,25013,
Blount,2003,"111,091","57,621","54,987","2,634",123,311,2839933,25933,
Blount,2004,"113,051","58,571","56,059","2,512",126,334,3015622,27146,
Blount,2005,"115,174","59,769","56,962","2,807",103,419,3119730,27596,
Blount,2006,"118,037","61,616","58,937","2,679",148,328,3274238,28429,
Blount,2007,"119,828","62,021","59,476","2,545",134,454,3495800,29616,0.432
Blount,2008,"121,511","63,443","59,523","3,920",97,440,3697296,30855,
Blount,2009,"122,784","63,713","57,465","6,248",94,459,3758201,30901,
Blount,2010,"123,010","63,591","58,278","5,313",114,473,3728009,30362,
Bradley,2001,"88,859","44,962","43,073","1,889",129,364,2060870,23365,0.453388622
Bradley,2002,"89,557","44,851","42,628","2,223",108,485,2226119,25052,
Bradley,2003,"90,089","45,362","42,992","2,370",114,610,2258388,25217,
Bradley,2004,"91,162","46,191","43,852","2,339",124,649,2376398,26378,
Bradley,2005,"92,264","46,838","44,374","2,464",149,537,2518681,27629,
Bradley,2006,"93,804","48,016","45,605","2,411",109,418,2607347,28260,
Bradley,2007,"95,497","47,656","45,432","2,224",167,562,2712277,28914,0.453
Bradley,2008,"96,472","47,562","44,513","3,049",94,401,2858316,29931,
Bradley,2009,"97,710","47,661","43,168","4,493",138,436,2983428,30870,
Bradley,2010,"98,963","47,906","43,605","4,301",105,498,2964034,30335,
Campbell,2001,"39,805","16,245","15,213","1,032",33,187,720350,18072,0.463350777
Campbell,2002,"39,839","16,297","15,210","1,087",50,195,811089,20377,
Campbell,2003,"39,960","16,546","15,384","1,162",75,370,821587,20623,
Campbell,2004,"40,387","16,908","15,888","1,020",51,274,854176,21376,
Campbell,2005,"40,412","16,888","15,881","1,007",53,390,910037,22533,
Campbell,2006,"40,505","16,866","15,833","1,033",44,268,961520,23793,
Campbell,2007,"40,562","16,815","15,882",933,61,264,971490,23984,0.467
Campbell,2008,"40,936","16,990","15,667","1,323",60,236,1037410,25576,
Campbell,2009,"40,970","16,969","14,747","2,222",70,394,1078796,26453,
Campbell,2010,"40,716","16,718","14,692","2,026",37,403,1072346,26174,
Cannon,2001,"12,987","6,385","6,120",265,17,33,292254,22645,0.438436654
Cannon,2002,"12,961","6,300","6,003",297,15,56,307435,23673,
Cannon,2003,"13,009","6,351","6,029",322,18,74,321288,24789,
Cannon,2004,"13,103","6,365","6,065",300,8,73,344039,26446,
Cannon,2005,"13,136","6,459","6,119",340,8,81,347922,26553,
Cannon,2006,"13,266","6,563","6,230",333,13,80,363480,27671,
Cannon,2007,"13,430","6,357","6,036",321,8,63,379534,28610,0.41
Cannon,2008,"13,804","6,595","6,108",487,15,76,400343,29810,
Cannon,2009,"13,860","6,590","5,805",785,11,63,407255,29439,
Cannon,2010,"13,801","6,533","5,911",622,9,66,397898,28708,
Carroll,2001,"29,512","13,918","12,871","1,047",32,99,621333,21079,0.455372756
Carroll,2002,"29,215","13,850","12,567","1,283",32,147,641603,21740,
Carroll,2003,"29,205","13,869","12,567","1,302",52,217,650046,22250,
Carroll,2004,"29,099","13,801","12,663","1,138",32,230,682896,23383,
Carroll,2005,"28,695","13,724","12,679","1,045",30,223,682457,23453,
Carroll,2006,"28,775","13,959","13,073",886,21,161,726640,25323,
Carroll,2007,"28,783","13,659","12,763",896,26,169,739614,25703,0.446
Carroll,2008,"28,719","13,782","12,519","1,263",22,137,757876,26331,
Carroll,2009,"28,517","13,745","11,560","2,185",16,164,793538,27690,
Carroll,2010,"28,522","13,883","11,846","2,037",25,171,804626,28216,
Carter,2001,"56,875","27,678","26,282","1,396",32,96,1081022,19021,0.441284489
Carter,2002,"56,830","27,726","25,895","1,831",36,117,1138555,20019,
Carter,2003,"58,260","28,658","26,825","1,833",55,128,1181036,20782,
Carter,2004,"58,412","28,982","27,251","1,731",35,127,1215029,20855,
Carter,2005,"58,666","29,111","27,433","1,678",45,163,1291077,22103,
Carter,2006,"58,956","29,353","27,871","1,482",39,180,1339113,22826,
Carter,2007,"58,938","29,318","27,835","1,483",28,161,1410916,23932,0.426
Carter,2008,"59,492","29,729","27,758","1,971",33,178,1496727,25395,
Carter,2009,"59,043","29,408","26,396","3,012",36,204,1530019,25857,
Carter,2010,"57,424","29,619","26,694","2,925",39,206,1513892,25640,
Cheatham,2001,"36,551","19,628","18,957",671,23,48,931480,25808,0.373246574
Cheatham,2002,"36,940","19,590","18,797",793,40,80,938288,25671,
Cheatham,2003,"37,166","19,691","18,845",846,29,125,985697,26684,
Cheatham,2004,"37,580","20,097","19,178",919,22,135,1022646,27516,
Cheatham,2005,"38,037","20,489","19,591",898,16,166,1069577,28461,
Cheatham,2006,"38,615","20,843","19,995",848,41,156,1130017,29708,
Cheatham,2007,"39,148","20,251","19,442",809,28,209,1206770,31251,0.398
Cheatham,2008,"39,396","20,396","19,281","1,115",29,188,1258683,32152,
Cheatham,2009,"39,876","20,382","18,471","1,911",64,210,1331967,33693,
Cheatham,2010,"39,105","20,669","18,811","1,858",55,157,1256024,31498,
Chester,2001,"15,845","7,512","7,163",349,16,43,316115,20305,0.429449191
Chester,2002,"15,857","7,547","7,064",483,19,76,340091,21464,
Chester,2003,"15,549","7,381","6,933",448,16,64,343312,21651,
Chester,2004,"15,793","7,502","7,071",431,18,68,356819,22948,
Chester,2005,"15,879","7,630","7,173",457,20,59,364029,23050,
Chester,2006,"15,978","7,735","7,315",420,6,65,380329,23952,
Chester,2007,"16,078","7,811","7,383",428,14,107,397131,24855,0.406
Chester,2008,"16,309","7,950","7,396",554,16,56,419273,26077,
Chester,2009,"16,312","7,858","6,977",881,16,35,432835,26580,
Chester,2010,"17,131","7,824","7,023",801,21,67,431317,26442,
Claiborne,2001,"30,108","12,488","11,799",689,30,46,588618,19626,0.459083307
Claiborne,2002,"30,038","12,687","11,969",718,28,94,626376,20804,
Claiborne,2003,"30,338","12,816","12,067",749,38,166,628213,20914,
Claiborne,2004,"30,555","12,712","12,005",707,51,116,644540,21245,
Claiborne,2005,"30,806","13,079","12,346",733,40,131,681227,22295,
Claiborne,2006,"30,964","13,370","12,643",727,31,148,726693,23589,
Claiborne,2007,"31,105","13,066","12,336",730,49,190,760115,24548,0.439
Claiborne,2008,"31,461","13,337","12,334","1,003",53,258,804302,25858,
Claiborne,2009,"31,243","13,171","11,593","1,578",60,217,844759,26999,
Claiborne,2010,"32,213","12,995","11,549","1,446",55,196,846432,27092,
Clay,2001,"7,938","3,570","3,317",253,4,20,146969,18410,0.454090802
Clay,2002,"7,945","3,747","3,473",274,9,41,160733,20249,
Clay,2003,"7,927","3,856","3,513",343,9,78,158093,19898,
Clay,2004,"7,966","3,640","3,304",336,3,83,164846,20796,
Clay,2005,"7,973","3,597","3,180",417,3,23,174631,21922,
Clay,2006,"7,997","3,625","3,226",399,2,28,180438,22631,
Clay,2007,"7,923","3,485","3,197",288,2,58,181901,22746,0.434
Clay,2008,"7,794","3,483","3,112",371,8,31,187550,23672,
Clay,2009,"7,895","3,336","2,850",486,4,53,185157,23452,
Clay,2010,"7,861","3,335","2,928",407,7,54,183731,23272,
Cocke,2001,"33,670","15,508","14,311","1,197",49,81,609395,18121,0.466504101
Cocke,2002,"33,982","15,472","14,289","1,183",52,38,623241,18510,
Cocke,2003,"34,287","15,645","14,295","1,350",33,47,646903,19037,
Cocke,2004,"34,455","15,531","14,272","1,259",56,82,659363,19231,
Cocke,2005,"34,708","15,950","14,718","1,232",61,127,676302,19629,
Cocke,2006,"35,079","16,245","15,057","1,188",36,96,706248,20348,
Cocke,2007,"35,393","16,388","15,317","1,071",48,113,740038,21096,0.461
Cocke,2008,"35,688","16,510","15,056","1,454",60,103,792613,22395,
Cocke,2009,"36,047","16,629","14,322","2,307",83,109,831823,23233,
Cocke,2010,"35,662","16,518","14,342","2,176",60,146,850784,23602,
Coffee,2001,"48,554","24,143","23,045","1,098",54,202,1139600,23646,0.460463786
Coffee,2002,"49,013","24,795","23,557","1,238",47,205,1190677,24523,
Coffee,2003,"49,494","25,513","24,229","1,284",47,295,1273979,25993,
Coffee,2004,"49,930","25,387","24,163","1,224",31,363,1359347,27465,
Coffee,2005,"50,637","25,537","24,121","1,416",36,364,1416079,28361,
