County,Total
Anderson,1867
Bedford,864
Benton,389
Bledsoe,235
Blount,2865
Bradley,1880
Campbell,828
Cannon,354
Carroll,602
Carter,1089
Cheatham,879
Chester,439
Claiborne,757
Clay,115
Cocke,601
Coffee,1176
Crockett,315
Cumberland,1428
Davidson,7348
Decatur,248
DeKalb,577
Dickson,1068
Dyer,545
Fayette,1258
Fentress,501
Franklin,785
Gibson,1090
Giles,563
Grainger,535
Greene,1303
Grundy,245
Hamblen,1323
Hamilton,5065
Hancock,153
Hardeman,415
Hardin,627
Hawkins,1270
Haywood,343
Henderson,632
Henry,625
Hickman,427
Houston,168
Humphreys,463
Jackson,217
Jefferson,1060
Johnson,277
Knox,7869
Lake,112
Lauderdale,427
Lawrence,696
Lewis,244
Lincoln,570
Loudon,1143
McMinn,1204
McNairy,505
Macon,303
Madison,2297
Marion,406
Marshall,549
Maury,1765
Meigs,249
Monroe,908
Montgomery,2520
Moore,193
Morgan,443
Obion,655
Overton,442
Perry,190
Pickett,121
Polk,318
Putnam,1502
Rhea,594
Roane,1500
Robertson,1574
Rutherford,4168
Scott,396
Sequatchie,284
Sevier,1897
Shelby,14389
Smith,427
Stewart,299
Sullivan,3276
Sumner,3227
Tipton,1474
Trousdale,141
Unicoi,347
Union,432
Van Buren,144
Warren,841
Washington,2141
Wayne,215
Weakley,503
White,586
Williamson,3360
Wilson,2947
